"","Site","Year","VegYr","VegType","Depth","AMBI","LEBI","MAWR","SORA","SWSP","VIRA","AMWO","COYE","RWBL","YWAR","SOSP","CHSP","NOCA","WIFL","TRES","BARS","BANS","EAKI","PUMA","CSWA","COGR","CLIFF","AMRO","Veg","S","Ab","H","J","D","I","logS","logAb"
"29","CM10_14",2014,"2014_Meadow","Meadow",0,0,0,0,0,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Remnant",4,8,1.2130075659799,0.875,0.65625,2.90909090909091,1.38629436111989,2.07944154167984
"30","CM9_14",2014,"2014_Meadow","Meadow",0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Remnant",3,4,1.03972077083992,0.946394630357186,0.625,2.66666666666667,1.09861228866811,1.38629436111989
"31","LP12_14",2014,"2014_Meadow","Meadow",0,0,0,0,0,3,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Remnant",5,10,1.50478828368119,0.934977529767123,0.76,4.16666666666667,1.6094379124341,2.30258509299405
"32","LP5_14",2014,"2014_Meadow","Meadow",0,0,0,0,0,1,0,0,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Remnant",5,11,1.2945451658449,0.8043461359047,0.644628099173554,2.81395348837209,1.6094379124341,2.39789527279837
"33","LP6_14",2014,"2014_Meadow","Meadow",0,0,0,0,0,0,0,0,3,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"Remnant",5,12,1.31437384300695,0.816666385731586,0.666666666666667,3,1.6094379124341,2.484906649788
"34","LP8R_14",2014,"2014_Meadow","Meadow",0,0,0,0,0,5,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Remnant",5,12,1.35220939923383,0.840174938583843,0.694444444444444,3.27272727272727,1.6094379124341,2.484906649788
"35","CM10_15",2015,"2015_Meadow","Meadow",16,0,0,0,0,0,0,0,3,14,1,2,0,0,0,3,1,0,0,1,1,1,0,0,"Remnant",9,27,1.63195646942129,0.742735397307348,0.694101508916324,3.26905829596413,2.19722457733622,3.29583686600433
"36","CM9_15",2015,"2015_Meadow","Meadow",15,0,0,0,2,1,0,0,0,6,0,1,0,0,0,2,0,0,0,1,0,0,0,0,"Remnant",6,13,1.52470739303014,0.850955398431372,0.72189349112426,3.59574468085106,1.79175946922805,2.56494935746154
"37","LP12_15",2015,"2015_Meadow","Meadow",14,0,0,5,0,3,1,0,3,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Remnant",7,25,1.57824737306975,0.811058708869959,0.7328,3.74251497005988,1.94591014905531,3.2188758248682
"38","LP5_15",2015,"2015_Meadow","Meadow",7,0,0,0,0,1,0,0,2,14,1,0,0,0,0,1,1,1,1,0,0,0,0,0,"Remnant",8,22,1.34862895446134,0.64855343486688,0.574380165289256,2.3495145631068,2.07944154167984,3.09104245335832
"39","LP6_15",2015,"2015_Meadow","Meadow",0,0,0,0,0,1,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,1,"Remnant",5,20,1.27728840564823,0.793623907937192,0.66,2.94117647058824,1.6094379124341,2.99573227355399
"40","LP8R_15",2015,"2015_Meadow","Meadow",8,0,0,1,0,6,1,0,6,7,2,2,0,0,0,4,1,0,0,0,0,0,1,0,"Remnant",10,31,2.0326887902644,0.882785525038424,0.844953173777315,6.4496644295302,2.30258509299405,3.43398720448515
