"","Site","Year","VegType","VegYr","Depth","AMBI","LEBI","MAWR","SORA","SWSP","VIRA","AMWO","COYE","RWBL","YWAR","SOSP","CHSP","NOCA","WIFL","TRES","BARS","BANS","EAKI","PUMA","CSWA","COGR","CLIFF","AMRO","LCBD"
"25","LP6_15",2015,"Meadow","Meadow_2015",0,0,0,0,0,0.009434,0,0,0.045455,0.035336,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1,0.0569479591711883
"26","LP8R_15",2015,"Meadow","Meadow_2015",8,0,0,0.011628,0,0.056604,0.142857,0,0.054545,0.024735,0.08,0.166667,0,0,0,0.16,0.1,0,0,0,0,0,1,0,0.0461445247274145
"27","CM19_15",2015,"Invaded","Invaded_2015",19,0,0,0.023256,0,0.066038,0,0,0.036364,0.014134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465977377982179
"28","CM2_15",2015,"Invaded","Invaded_2015",5,0,0,0.011628,0,0,0,0,0.018182,0.024735,0.08,0.083333,0,0,0,0,0,0,0.1,0,0,0,0,0,0.037754814638738
"29","CM6_15",2015,"Invaded","Invaded_2015",29,0,0,0.05814,0,0.009434,0,0,0.027273,0.014134,0.04,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.0357225136553281
"30","LP1_15",2015,"Invaded","Invaded_2015",36,0,0,0.023256,0,0.009434,0,0,0.027273,0.024735,0.04,0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0.0399841813516617
"31","LP12R_15",2015,"Invaded","Invaded_2015",42,0,0,0.034884,0,0.028302,0,0,0.018182,0.010601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442154962284848
"32","LP16R_15",2015,"Invaded","Invaded_2015",38,0,0,0.023256,0,0.028302,0,0,0.018182,0.031802,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.0355301605160651
"33","CM4R_15",2015,"Emergent","Emergent_2015",32,0,0.5,0.069767,0,0.009434,0,0,0,0.014134,0.04,0,0,0,0,0.04,0,0.5,0,0,0,0,0,0,0.0687547766220931
"34","CM5R_15",2015,"Emergent","Emergent_2015",39,0.25,0,0.011628,0,0.056604,0,0,0.045455,0.021201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019826840732136
"35","LP10_15",2015,"Emergent","Emergent_2015",22,0,0,0.011628,0,0.018868,0.428571,0,0.045455,0.042403,0,0,0,0,1,0,0,0,0.2,0,0,0,0,0,0.0521522492433405
"36","LP10R_15",2015,"Emergent","Emergent_2015",21,0,0,0.011628,0,0.018868,0,0,0.045455,0.045936,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392373513177878
"37","LP15_15",2015,"Emergent","Emergent_2015",26,0,0,0.046512,0,0.056604,0,0,0.018182,0.031802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656323688857788
"38","LP5R_15",2015,"Emergent","Emergent_2015",39,0,0,0.081395,0,0.037736,0,0,0.036364,0.042403,0,0,0,0,0,0.04,0,0,0.1,0,0,0,0,0,0.0628493345323843
"39","LP6R_15",2015,"Emergent","Emergent_2015",28,0,0,0.046512,0,0.028302,0,0,0.036364,0.045936,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.0727925485411005
"40","LP7R_15",2015,"Emergent","Emergent_2015",42,0,0,0.05814,0,0.009434,0,0,0,0.088339,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.0188802665930103
